,pixel_value,sensor_value,exposure
Count,25000,25000,25000
Mean,108.20691898953982,11099.100223239124,2.937678850906207
Median,77.2205074552362,11106.278728164914,0.5782367880628931
Minimum,2.49244912208724,2072.085516117062,0.022
Maximum,255.0,20115.904682218177,72.41796663169244
Range,252.50755087791276,18043.819166101115,72.39596663169243
Variance,7242.977622921015,26406724.52515799,33.625124893228076
Standard Deviation,85.10568502116068,5138.747369267922,5.798717521420411
IQR,143.96288328196454,8893.641625126356,3.0794928611373598
25th Percentile,33.85357174865518,6652.274427091144,0.1100701479247434
50th Percentile (Median),77.2205074552362,11106.278728164914,0.5782367880628931
75th Percentile,177.81645503061972,15545.9160522175,3.189563009062103
Mode,[255.0],[2072.085516117062],[0.022]
